id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,city,neighbourhood_cleansed,has_price,price_capped,rental_type,price_tier
617378058167008775,Charming Amsterdam Loft Canal View & Sunny Terrace,456972506,Ramon,Centrum-West,52.36612,4.87922,Entire home/apt,473.0,1.0,52,1.27,2,11,Amsterdam,,True,473.0,Short-term,Luxury
1306510167587042083,Luxury Amsterdam Retreat,665846656,Sheldon,De Baarsjes - Oud-West,52.3651633,4.859275999999999,Entire home/apt,216.0,3.0,5,0.88,1,125,Amsterdam,,True,216.0,Short-term,Mid-range
628212984717066951,Appartement in Amsterdam-west met groot dakterras,49485203,Maud,De Baarsjes - Oud-West,52.373688,4.862208,Entire home/apt,100.0,3.0,1,0.02,1,136,Amsterdam,,True,100.0,Short-term,Budget
1461590802828185613,Central beautiful spacious flat,54825137,Mitrofan,Westerpark,52.38874260000001,4.880971199999999,Entire home/apt,,7.0,0,,1,4,Amsterdam,,False,,Weekly+,Unknown
44568529,Sit & Relax canalview apartment central Amsterdam,46161497,Anna En John,Centrum-West,52.37027,4.88837,Entire home/apt,385.0,2.0,139,2.42,1,149,Amsterdam,,True,385.0,Short-term,Luxury
885602070018386951,Cosy boho apartment,49402797,Matthew,Westerpark,52.38859,4.88886,Entire home/apt,,5.0,18,0.63,1,0,Amsterdam,,False,,Short-term,Unknown
830234039853362374,Canal view apartment @Old South,36883654,Boris,Zuid,52.35130081248266,4.847366400338004,Entire home/apt,,4.0,4,0.14,1,0,Amsterdam,,False,,Short-term,Unknown
27565202,Beautiful & clean apartment near the Museumsquare,79666655,Marjolijn,Zuid,52.357791900634766,4.877831935882568,Entire home/apt,387.0,2.0,200,2.33,1,258,Amsterdam,,True,387.0,Short-term,Luxury
707639814211363003,Luxurious Private Studio with own entrance,33029941,Vera,Buitenveldert - Zuidas,52.3244084,4.8707311,Entire home/apt,,1.0,3,0.09,1,0,Amsterdam,,False,,Short-term,Unknown
1102337555765739693,NEW: Stylish getaway for 2 Amsterdam @ Old West,29621503,Joanna,De Baarsjes - Oud-West,52.36354,4.86092,Entire home/apt,212.0,2.0,11,0.61,1,4,Amsterdam,,True,212.0,Short-term,Mid-range
932591184420811409,Pinterest Apartment with Soul,235039425,Chiara,Westerpark,52.382322673725554,4.872831042367755,Entire home/apt,,3.0,1,0.04,1,0,Amsterdam,,False,,Short-term,Unknown
1112074962067044870,Sunny apartment at Erasmuspark,39644657,Rafaël,Bos en Lommer,52.376121,4.848069000000001,Entire home/apt,,1.0,0,,1,0,Amsterdam,,False,,Short-term,Unknown
1206307837230284638,Canal view apartment with stunning terrace,591367190,Silvia,Centrum-West,52.373328327881616,4.880445563996678,Entire home/apt,290.0,1.0,8,0.63,1,64,Amsterdam,,True,290.0,Short-term,Luxury
771758,Nice and Cozy Room Offered in Amsterdam,195859,Gianni,Slotervaart,52.34985,4.83578,Private room,60.0,2.0,374,2.48,2,322,Amsterdam,,True,60.0,Short-term,Budget
26625840,Unique bright house with garden in Amsterdam,175413450,Sophie,Oud-Oost,52.35281,4.91321,Entire home/apt,187.0,4.0,20,0.23,1,34,Amsterdam,,True,187.0,Short-term,Mid-range
1068795126556243126,Modern and spacious apartment,14787228,Daan,De Pijp - Rivierenbuurt,52.35166250663478,4.892385273016364,Entire home/apt,265.0,4.0,2,0.12,1,48,Amsterdam,,True,265.0,Short-term,Mid-range
1483579379836404712,Apartment for couples/families next to Westerpark,6557654,Keke,Westerpark,52.38896062731824,4.877720917196635,Entire home/apt,152.0,3.0,1,1.0,1,4,Amsterdam,,True,152.0,Short-term,Budget
890205463079802598,NEW: Spacious apartment with park views!,51222903,Matthijs,De Baarsjes - Oud-West,52.36067379403431,4.850381153751004,Entire home/apt,,3.0,5,0.28,1,0,Amsterdam,,False,,Short-term,Unknown
5609836,houseboat near centre & westerpark,29082613,Wilfred,Westerpark,52.38073,4.87551,Entire home/apt,,3.0,79,0.63,1,0,Amsterdam,,False,,Short-term,Unknown
